domanda;categoria
Dove posso noleggiare una bici/bici elettrica/mountain bike?;1
Quali percorsi mi consiglia sul mare? ;4
Quale percorso mi consiglia per scoprire la flora del luogo? ;4
Dove posso fotografare/guardare un bel panorama? ;4
Potresti aiutarmi a organizzare un tour (guidato o meno) in bici/a piedi/in barca? ;3
Quali sono e dove potrei recarmi per provare i prodotti tipici del luogo? ;1
Dove posso recarmi per una degustazione di prodotti tipici locali? ;1
Dove posso pranzare/cenare? ;1
Dove posso acquistare cibi tipici locali originali? ;1
Ci sono aziende che permettono di visitare la catena produttiva di cibo/vino locale? ;3
Quali percorsi potrei fare con la moto? ;4
Quali sono i luoghi da non perdere che posso visitare in moto? ;1
Dove potrei alloggiare a Martina Franca/dintorni? ;1
Quali sono i migliori posti dove mangiare? ;1
Quali sono i luoghi pi˘ belli da visitare? ;1
Ci sono eventi particolari dove posso recarmi durante la mia permanenza? ;4
Come ci si muove nel territorio di Martina Franca? ;3
Vorrei andare a correre in un posto particolare, dove mi consigli? ;4
Dove posso vedere dei bei fondali? ;4
Quando saresti disponibile ad accompagnarmi? ;2
Dove potremmo affittare delle biciclette/dell'attrezzatura subacquea? ;1
Ci sono gruppi organizzati di runners a cui posso aggregarmi? ;3
Mi piacerebbe coltivare il grano hai qualche consiglio? ;3
Come conservare i frutti? ;3
Come realizzare il compost? ;3
Come fare delle confetture? ;3
Come posso migliorare i suoli? ;3
Mi faresti assaggiare un tuo prodotto? ;2
Cosa posso fare stasera? ;4
Dove posso mangiare un panino? ;1
Dove posso mangiare vegetariano? ;1
Dove posso mangiare qualcosa di tipico? ;1
Dove posso vivere uníesperienza a contatto con la natura? ;1
Dove posso comprare manufatti artigianali? ;1
Dove posso comprare un buon capocollo?;1
A chi posso rivolgermi per un tour guidato? ;2
Posso organizzare un tour ristretto come guida? ;3
Chi può aiutarmi con una ricerca sulla storia del territorio? ;2
Mi consigli un B&B caratteristico in pietra nel centro storico? ;1
Sapresti darmi indicazioni su strutture ricettive adatte ad una famiglia/bambini? ;3
Conosci un B&B con annesso servizio parcheggio? ;1
Come si fa il capocollo? ;3
Avete salumi e formaggi locali? ;3
Quale panino gourmet mi consiglieresti? ;3
Dove posso acquistare abbigliamento taglie forti? ;1
Dove posso acquistare abbigliamento femminile originale, con prezzi unici e di ricerca? ;1
Si può bere l'acqua delle stalattiti? ;3
Cosa posso vedere in moto? ;4
Quali percorsi posso fare in moto? ;4
Ho un problema tecnico alla moto, a chi posso rivolgermi? ;2
Avresti per caso una chiave inglese di x pollici? ;3
Dove potrei rimessare la moto? ;1
Dove potrei trovare un posso per dormire dotato di rimessaggio per la moto? ;1
Cosa potrei visitare a taranto? ;1
Prodotti tipici del luogo? ;3
Quale attivit‡ non mi posso assolutamente perdere a bari l'estate? ;4
Chi sono i personaggi pi˘ noti della citt‡? ;2
Quali origini ha il dialetto basere? ;3
Ho bisogno di un consiglio da parte di una persona del posto ;2
Aiuto ho bisogno di un professore per imparare a suonare il flauto ;2
Cosa visitare a Bari nel pomeriggio? ;3
Quali chiese visitare vicino a me? ;1
c'è un negozio di articoli da giardino? ;1
Dove posso comprare un profumo Armani? ;1
Sto cercando la villa comunale... è presente una villa in cui sdraiarsi?;3
non capisco il dialetto... qualcuno può aiutarmi? ;3
cercasi informazioni su chiese? ;3
c'è un agricoltore disponibile? ;2
sono appena arrivato a Bari... che cosa posso fare? ;3
eventi culturali nella zona? ;4
dove posso trovare un buon veterinario per il mio cane?? ;2
