"domanda","categoria"
"dove posso comprare una buona focaccia?",1
"cosa visitare a BARI?",4
"Dove posso trovare un centro assistenza di macchine fotografiche Nikon a Bari?",1
"dove posso riparare la mia chitarra classica?",1
"Ho un problema con il mio criceto. c'è un buon veterinario?",2
"dove posso trovare coperchio di un giradischi?",1
"Urgente centro assistenza pc Compaq a Bari?",1
"aiuto per motore marino?",1
"Vado 2 settimane in vacanza a Bari. Cosa visitare?",4
"Per due ragazze è pericoloso prendere il treno delle 23.00 dalla stazione di Bari?",3
"Pulman amtab dalla stazione di bari?",3
"dove si impara a fare ""bene"" hip hop a bari? ",1
"Insegnanti di canto a Bari?",2
"dove posso riparare la mia chitarra classica?",1
"Gioco per xbox 360 graffiato dove ripararlo?",1
"Dove posso comprare la merce?",1
"Dove posso trovare un negozio o una tipografia che sappia fare i puzzle con delle mie immagini?",1
"Dove trovare scacchiere a Bari..?",1
"nomi di negozi dove posso acquistare la rosa di jericho? ",1
"Dove posso comprare la batteria x il pc acer? Vicino bari?",1
"qualcuno mi consiglia?",3
"un hotel o masseria che conoscete nella zona di Ostuni?",1
"ci sono negozi o rivenditori di scarpe vans?",1
"cerco un negozio di bmx a roma?",1
"Cerco delle scarpe bellissime di Tommy Hilfiger?",1
"Dove trovo un negozio che venda il pellet bunny?",1
"Dove posso trovare un carrello per la mia stampante?",1
"Autobus per andare da bari centrale a modugno zona industriale?",3
"Dove posso trovare Zaino All Star a Bari?!?",1
"dove posso trovare la scheda r4 x il nintendo ds???",1
"felpe con i sette nani a bari?",1
"Aiuto cerco una borsa disney...?",1
"Devo vendere la mia xbox 360 elite a Bari. Dove me la valutano bene?",1
"Sapete dove posso comprare le scarpe MUNICH a Bari?",1
"chi vende bici ?",1
"dove posso trovare le camicie di flanella?",1
"dove posso trovare abbigliamento donna di Daniele Alessandrini a Bari?",1
"cosa mi consigliate da vedere o visitare in puglia?",4
"negozi di biciclette please?",1
"aiutatemiii .. problema pc, dove posso andare?",1
"dove posso trovare una scuola tektonik a bari?",1
"Dove posso trovare negozi emo?",1
"Zoomarine a Pasqua, e poi? cosa dobbiamo visitare?",4
"5 giorni in Puglia... Cosa visitare? ",4
"Taxi Bari: stazione - aeroporto?",2
"SCUOLE DI CANTO BARI,o luoghi dove fare karaoke nella stessa città???",1
"aiuto psp! un negozio vicino bari!!?",1
"dove posso trovare il Bracciale Tiffany?",1
"Negozi per oggetti Wicca?",1
"Chi mi sà dire dove posso comprare abbigliamento North Sails?",1
"Vivere a Bari... quale quartiere?",3
"Negozio che vende peluche a Bari?",1
"Urgente, fra 3 giorni parto e non so a chi lasciare il mio gatto?",2
"dove posso trovare i ricambi del tagliacapelli babyliss for men?",1
"Dove posso comprare il labello alla mela verde?",1
"Dove posso trovare Cicciobello bua a Bari?",1
"vorrei comprarmi una mountain bike. ci sono negozi a napoli?",1
"da chi posso farmi costruire un peluche personalizzato?",2
"punti vendita vans a  bari!?",1
"dove si comprano le lampade al plasma?",1
"Bari, mercatini natalizi e cose belle da vedere!?",4
"per caso conoscete negozi di pit bike o moto cross?",1
"dove posso trovare un corso di addestramento??",1
"dove posso trovare i copri fronte di naruto?",1
"negozio dove posso comprarmi una bici da corsa o mountain bike",1
"Dove posso trovare zaini buoni per la prima elementare?",1
"Afta recidiva :da chi posso andare?",2
"da chi posso farmi interpretare i sogni?",2
"Dove si vendono i Colbacchi da uomo in lana?",1
"dove posso andare a mangiare stasera?",1
"sono un giovane 16enne e vorrei avvicinarmi alla pesca in apnea?",3
"negozi bike trial in abruzzo?",1
"negozi in centro a bari?",1
"AIUTO PESCA IN APNEA??!! 10 PT!!?",3
"negozi di parrucche a bari?",1
"Mi consigliate dei locali particolari a Bari dove mangiare bene e spendere poco?",4
"cosa visitare in puglia in gita di 4 giorni??",4
"Visitare Napoli???????",4
"BASILICA san nicola a bari?",4
"Cosa mi consigliate di vedere in Valtellina?",4
"Dove comprare un regalo di S. Valentino a Bari?",1
"luoghi di interesse artistico nella zona di Grosseto e Castiglio della Pescaia?",4
"Ci sono dei punti vendita a BARI dove vendono ancora crash tag team racing per psp?",1
"Qualcuno sa dirmi nomi di negozi dove posso acquistare la rosa di jericho? ",1
"dove ACQUISTARE una MINIMOTO ?",1
"dove posso trovare una collana di chanel?",1
"Qualcuno mi traduce...? entrate!?",2
"Cosa ne pensate di Bari?",3
"dove posso reperire un galvanometro?",1
"mi sai consigliare un bravo ginecologo a bari o provincia di bari???",2
"locali bari,Andò disco pub?",1
"dove  posso trovare le magliette di  spongebob a bari?",2
"Pulman che partono da bari in direzione di reggio calabria?",3
"aiuto, dove posso trovare oggetti per biologi?",1
"Dove comprare conigli nani a Bari?",1
"Cosa mi consigliereste di vedere/fare in Grecia?",4
"un ristorante, sala ricevimenti per trascorrere il capodanno?",1
"quante stazioni ferroviarie ci sono a bari?",3
"Visitare la casa di Maria da Smirne (crociera)?",4
"A 13 anni si può praticare la pesca in apnea?",3
"Consigli per visitare Napoli?",4
"Ciao a tutti cercasi urgentemente felpa Trilly della Disney?",1
"Sondaggino tra i miei colleghi e amici musicisti?",1
"Pranzo Pasquetta in zona Bari-Brindisi?",1
"parcheggio stazione bari?",3
"Mi potete dare dei consigli sulla pesca in apnea?",3
"Dove posso acquistare un cane?",1
"Vorrei avere una lista di agriturismi a Bari e prov. max 15 Km?",1
"informazione riguardo alle stazioni...?",3
"dove posso noleggiare un camper?",1
"Punti vendita Stivali Ugg a Bari?",1
"Ci sono parcheggi a pagamento vicino la stazione di Bari?",3
"dove posso trovare un negozio a milano specializzato in botanica(non botanic e viridea)?",1
"Ho trovato una Nikon FE ma gli manca un pezzo...dove la posso far aggiustare???",1
"pesca in apnea????????????? :) aiutatemi?",3
"sapete dove noleggiare macchine a los angeles a basso costo?",1
"BARI: Come arrivare dalla stazione centrale alla Cattedrale di San Sabino?",3
"Dove posso comprare...??",1
"dove acquistare vestiti H&M?",1
"dove noleggiano giochi per la wii?",1
"HELPPPP dove alloggiare a Roma per una notte?",1
"qualcuno può farmi dei lavori elettrici a casa?",2
"un professionista del calcio per fare da allenatore a mio figlio.",2
"avrei bisogno di un personal trainer.",2
"Bus ANTAB Aeroporto Bari -> Stazione Bari Centrale?",3
"mi serve pigiama uomo a bari?",1
"BARI: Come arrivare dalla stazione centrale alla Cattedrale di San Sabino?",3
"come arrivare alla stazione termini da bari?",3
"bari park e train...orari stazione mungivacca?",3
"BIGLIETTO BARI-ANCONA?",3
"Help !! dove compro questi occhialii?!?",1
"Sapresti dirmi negozi che vendono attrezzature da graffiti ?",1
"Urgente! Vestito di capodanno? dove posso comprarlo?
",1
"Quanto può costarmi.....?",3
"Cosa dovrei sapere prima di una visita alla reggia di Caserta?",3
"cercasi informazioni su locali e ristoranti?",3
"Aiutatemi...Mi trovo in provincia di bari , e sto cercando un lavoro estivo per questa estate?",3
"pianta di liquirizia? dove comprarla?",1
"Consigli per una serata a CORATO...?",3
"A chi mi posso rivolgere per una valutazione archeologica?",2
"a chi posso rivolgermi?",2
"DITEMI NEGOZI CHE CI SONO A MILANO :)?",1
"chi mi potrebbe aiutare perfavore?",2
"Col foglio rosa chi mi può dar lezioni?",2
"problema del mio cane? chi può aiutarmi?",2
"Chi può tradurmi questo discorso?",2
"Pizzerie/Ristoranti carini a Bari...?",1
"dove possiamo andare domani?",4
"Pattinaggio artistico?",1
"Ci sono autobus che vanno dalla stazione di Bari Centrale al conservatorio?",3
"Qual è la via della stazione di Bari?",3
"Come posso raggiungere il porto dalla stazione di Bari centrale?",3
"Negozi di chimica....?",1
"Veterinario per animali esotici a Bari?",1
"quali negozi sportivi ci sono ?",1
"centri ecografici zona Bari ??!!?",1
"Week-end a Roma: Cosa mi consigliate di vedere?",4
"Agriturismo economico puglia?",1
"parrucchieri-tagli emo in puglia?",1
"Schermo da cambiare iphone 2g?",1
"Qual è la via della stazione di Bari?",3
"week-end in puglia....cosa mi consigliate?",4
"oggi i negozi a che ora aprono?",3
"Come si fa ad arrivare alla Stazione FS P.zza Moro di Bari, partendo da Taranto?",3
"A che ora aprono le cartolerie la mattina?",3
"Bari FerroviA pORTO?",3
"collegamento bari aeroporto - bari stazione FSE?",3
"A che ora aprono gli autolavaggi?",3
"sammichele di bari stazione?",3
"vacanza con tappe in italia, cosa vedere?",4
"foggia-bari aeroporto come arrivare?",3
"Da Bari al Salento con i mezzi pubblici?",3
"Ci sono mezzi pubblici per andare e tornare da Molfetta a Sannicandro di Bari?",3
"domanda sulla pesca subacquea, apnea?",3
"Consigli su escursioni ""fai da te"" Costa Crocere?",4
"vorrei comprare un fumetto?",1
"vorrei comprare delle figurine!?",1
"Quale mezzo pubblico devo prendere dalla provincia di napoli x arrivare a bari?",3
"Mi potreste consigliare le escursioni per questa crociera?",4
"da palese ferrovie bari nord ad aeroporto di bari palese?",3
"Muoversi con i mezzi pubblici a Bari, mi aiutate?",3
"Che mi dite di Bari..?",3
"Consigli lavori part time?",3
"caseificio vicino a Bologna?",1
"Domanda per gli appassionati di botanica?",3
"dove compro 1 tinta per capelli blu viola e/o altri colori strani?",1
"dove posso trovare queste scarpe ?",1
"Chi mi può fare la traduzione ??!!!!?",2
"sai dirmi le chiese o le cattedrali romaniche che si trovano in puglia?",1
"fare un ricorso al prefetto chi potrebbe aiutarmi?",2
"qualcuno mi vende biglietti bari-milan?",2
"qualcuno di bari che mi spiega gli amtab?? urgente!?",3
"Guida turistica a Napoli?",2
"Masseria a Bari, dove posso trovarla?",1
"A che ora apre il bowling la domenica?",3
"quali sono le tecniche migliori per immergersi in apnea?",3
"a che ora apre il lingotto fiere per il torino comics 2010 ?",3
"Guida di Roma in pdf?",2
"Pietre preziose, vendita?",1
"CONCERTI di artisti noti vari..?",4
"Guida turistica Roma...?",2
"Come si svolgono le visite guidate con la Costa? 10 punti assicurati?",4
"volevo sapere a che ora apre la feltrinelli?",3
"weekend in puglia?",4
"Come si nuota in apnea?",3
"guida turistica a Palermo.........?",2
"A che ora apre Combat Arms la mattina?",3
"arena di verona a che ora aprono i cancelli?",3
"COSE DA VEDERE A MADRID ????",4
"guida turistica?",2
"guida turistica in francese della regione campania?",2
"Guida turistica in Italia?",2
"guide turistiche città italiane?",2
"guida turistica a venezia?",2
"chi mi puo aiutare?il computer si spegne da solo...?",3
"guide turistiche?",2
"Audioguide turistiche in mp3 o per navigatori?",3
"tour guidato... help?",4
"Info vacanze a Bari !?",3
"Come faccio a spostarmi da Bergamo o Milano a Bari con i mezzi pubblici?",3
"mezzi pubblici da Bari a Bitritto?",3
"Come raggiungere Andria da Bari con i mezzi pubblici (treno o autobus)?",3
"mezzi pubblici per arrivare in piazza moro (stazione di bari) partendo dalla scuola ""marco polo""?",3
"Perchè San Nicola a Bari è venerato anche dagli ortodossi che giungono in Italia apposta?",4
"Orario messa ORTODOSSA San Nicola di Bari?",3
"Bari merita di essere visitata? cosa vedere?",4
"Migliori guide turistiche sulla Puglia?",2
"negozi dove vendono eclusivamente cose per vegetariani a torino?",1
"chi potrebbe fare da Guida turistica per una visita della città?",2
"Cosa visitare a Bari?",4
"Voglio comprarmi una buona ciclette. In quale negozio posso comprarla?",1
"Luoghi da visitare a Bari?",4
"qualche bel centro benessere pugliese?",1
"Vado 2 settimane in vacanza a Bari. Cosa visitare?",4
"negozi per vegetariani-vegani a Milano?",1
"per un caseificio dove devo andare?",1
"informazioni per la pesca in apnea...?",3
