"id","domanda","categoria"
2,"dove posso comprare una buona focaccia?",1
281,"cosa visitare a BARI?",4
6,"Dove posso trovare un centro assistenza di macchine fotografiche Nikon a Bari?",1
7,"dove posso riparare la mia chitarra classica?",1
8,"Dove stare a Bari durante la siesta con un bambino (c`e un parco, un giardino piacevole ombroso)?",1
46,"Ho un problema con il mio criceto. c'è un buon veterinario?",2
10,"Gioco per xbox 360 graffiato dove ripararlo (RIX MATERANI)?",1
11,"dove posso trovare coperchio di un giradischi?",1
12,"Urgente centro assistenza pc Compaq a Bari?",1
13,"aiuto per motore marino?",1
282,"Vado 2 settimane in vacanza a Bari. Cosa visitare?",4
465,"Per due ragazze è pericoloso prendere il treno delle 23.00 dalla stazione di Bari?",3
466,"Pulman amtab dalla stazione di bari?",3
211,"dove si impara a fare ""bene"" hip hop a bari? ",1
212,"Insegnanti di canto a Bari?",2
22,"dove posso riparare la mia chitarra classica?",1
24,"Dove posso comprare la merce?",1
25,"Dove posso trovare un negozio o una tipografia che sappia fare i puzzle con delle mie immagini?",1
26,"Dove trovare scacchiere a Bari..?",1
28,"Dove posso comprare la batteria x il pc acer? Vicino bari?",1
246,"qualcuno mi consiglia?",3
34,"Cerco delle scarpe bellissime di Tommy Hilfiger?",1
35,"Dove trovo un negozio che venda il pellet bunny?",1
36,"Dove posso trovare un carrello per la mia stampante?",1
467,"Autobus per andare da bari centrale a modugno zona industriale?",3
38,"Erba gatta cercasi ....?",1
39,"Dove posso trovare Zaino All Star a Bari?!?",1
40,"dove posso trovare la scheda r4 x il nintendo ds???",1
41,"felpe con i sette nani a bari?",1
42,"Aiuto cerco una borsa disney...?",1
43,"Devo vendere la mia xbox 360 elite a Bari. Dove me la valutano bene?",1
47,"Sapete dove posso comprare le scarpe MUNICH a Bari?",1
49,"dove posso trovare le camicie di flanella?",1
50,"dove posso trovare abbigliamento donna di Daniele Alessandrini a Bari?",1
286,"cosa mi consigliate da vedere o visitare in puglia?",4
17,"aiutatemiii .. problema pc, dove posso andare?",1
216,"dove posso trovare una scuola tektonik a bari?",1
44,"Qualcuno sa dirmi nomi di negozi dove posso acquistare la rosa di jericho? ",1
45,"Dove posso trovare negozi emo?",1
288,"Zoomarine a Pasqua, e poi? cosa dobbiamo visitare?",4
287,"5 giorni in Puglia... Cosa visitare? ",4
464,"Taxi Bari: stazione - aeroporto?",2
217,"SCUOLE DI CANTO BARI,o luoghi dove fare karaoke nella stessa città???",1
54,"aiuto psp! un negozio vicino bari!!?",1
55,"dove posso trovare il Bracciale Tiffany?",1
86,"Negozi per oggetti Wicca?",1
96,"Chi mi sà dire dove posso comprare abbigliamento North Sails?",1
103,"Vivere a Bari... quale quartiere?",3
60,"Negozio che vende peluche a Bari?",1
62,"Urgente, fra 3 giorni parto e non so a chi lasciare il mio gatto?",2
64,"dove posso trovare i ricambi del tagliacapelli babyliss for men?",1
67,"Dove posso trovare Cicciobello bua a Bari?",1
220,"da chi posso farmi costruire un peluche personalizzato?",2
70,"punti vendita vans a  bari!?",1
71,"Dove posso trovare il labello alla mela verde?",1
73,"dove si comprano le lampade al plasma?",1
289,"Bari, mercatini natalizi e cose belle da vedere!?",4
77,"dove posso trovare un corso di addestramento??",1
78,"dove posso trovare i copri fronte di naruto?",1
80,"Dove posso trovare zaini buoni per la prima elementare?",1
226,"Afta recidiva :da chi posso andare?",2
227,"da chi posso farmi interpretare i sogni?",2
84,"Dove si vendono i Colbacchi da uomo in lana?",1
1787,"sono un giovane 16enne e vorrei avvicinarmi alla pesca in apnea?",3
90,"negozi in centro a bari?",1
1788,"AIUTO PESCA IN APNEA??!! 10 PT!!?",3
92,"negozi di parrucche a bari?",1
296,"cosa visitare in puglia in gita di 4 giorni??",4
297,"Visitare Napoli???????",4
594,"BASILICA san nicola a bari?",4
100,"Dove comprare un regalo di S. Valentino a Bari?",1
104,"Ci sono dei punti vendita a BARI dove vendono ancora crash tag team racing per psp?",1
61,"Qualcuno sa dirmi nomi di negozi dove posso acquistare la rosa di jericho? ",1
65,"dove ACQUISTARE una MINIMOTO ?",1
76,"dove posso trovare una collana di chanel?",1
253,"Qualcuno mi traduce...? entrate!?",2
291,"Cosa ne pensate di Bari?",3
221,"dove posso reperire un galvanometro?",1
263,"mi sai consigliare un bravo ginecologo a bari o provincia di bari???",2
264,"locali bari,Andò disco pub?",1
265,"dove  posso trovare le magliette di  spongebob a bari?",2
266,"Pulman che partono da bari in direzione di reggio calabria?",3
627,"aiuto, dove posso trovare oggetti per biologi?",1
106,"Dove comprare conigli nani a Bari?",1
301,"Cosa mi consigliereste di vedere/fare in Grecia?",4
469,"quante stazioni ferroviarie ci sono a bari?",3
305,"Visitare la casa di Maria da Smirne (crociera)?",4
1791,"A 13 anni si può praticare la pesca in apnea?",3
307,"Consigli per visitare Napoli?",4
114,"Ciao a tutti cercasi urgentemente felpa Trilly della Disney?",1
115,"Sondaggino tra i miei colleghi e amici musicisti?",1
1163,"Pranzo Pasquetta in zona Bari-Brindisi?",1
471,"parcheggio stazione bari?",3
1792,"Mi potete dare dei consigli sulla pesca in apnea?",3
1164,"Vorrei avere una lista di agriturismi a Bari e prov. max 15 Km?",1
474,"informazione riguardo alle stazioni...?",3
130,"Punti vendita Stivali Ugg a Bari?",1
1165,"Ki mi consiglia un ristorante,sala ricevimenti x trascorrere il capodanno?",1
476,"Ci sono parcheggi a pagamento vicino la stazione di Bari?",3
633,"dove posso trovare un negozio a milano specializzato in botanica(non botanic e viridea)?",1
1795,"pesca in apnea????????????? :) aiutatemi?",3
479,"BARI: Come arrivare dalla stazione centrale alla Cattedrale di San Sabino?",3
635,"Dove posso comprare...??",1
